date;air_district1;avg_temp;rain_amount;sunshine_hours;wind_speed;snowfall
4.09.2016;Miyagi-ken;25.1;0;1.5;2.9;0
5.09.2016;Miyagi-ken;26.6;0;5.2;2.4;0
6.09.2016;Miyagi-ken;27.9;0;5.3;2.7;0
7.09.2016;Miyagi-ken;25.1;0.5;2.8;2.1;0
8.09.2016;Miyagi-ken;23;131;0.5;3.4;0
9.09.2016;Miyagi-ken;25.3;1.5;8.5;2.8;0
10.09.2016;Miyagi-ken;24.5;0;9.7;2.5;0
11.09.2016;Miyagi-ken;20.9;0;0;2.5;0
12.09.2016;Miyagi-ken;20.6;2;0;2.9;0
13.09.2016;Miyagi-ken;19.5;69;0;2.9;0
14.09.2016;Miyagi-ken;21.8;5;3.2;2.5;0
15.09.2016;Miyagi-ken;22.9;0;5.2;2.6;0
16.09.2016;Miyagi-ken;22.6;0;0.2;3;0
17.09.2016;Miyagi-ken;22.4;2.5;1.4;1.6;0
18.09.2016;Miyagi-ken;19.2;12;0;2;0
19.09.2016;Miyagi-ken;19.4;2;0;1.9;0
20.09.2016;Miyagi-ken;16.7;35;0;3.9;0
21.09.2016;Miyagi-ken;18.7;0;4.6;3.1;0
22.09.2016;Miyagi-ken;18.2;23.5;0;3.2;0
23.09.2016;Miyagi-ken;20.3;4;0.4;2.3;0
24.09.2016;Miyagi-ken;21.1;1.5;4.3;2;0
25.09.2016;Miyagi-ken;22.1;0;6.7;1.9;0
26.09.2016;Miyagi-ken;22.2;0.5;0;2.1;0
27.09.2016;Miyagi-ken;22.1;5.5;0.6;2;0
28.09.2016;Miyagi-ken;22.9;1.5;0;1.4;0
29.09.2016;Miyagi-ken;19.6;17;0.6;2.5;0
30.09.2016;Miyagi-ken;17.8;0;7.7;2.4;0
1.10.2016;Miyagi-ken;19.8;0;8.1;2.5;0
2.10.2016;Miyagi-ken;20.7;0;10.8;2.3;0
3.10.2016;Miyagi-ken;21.4;0;0.4;1.8;0
4.10.2016;Miyagi-ken;22.9;0;5.6;4.3;0
5.10.2016;Miyagi-ken;17.5;0;0.3;2;0
6.10.2016;Miyagi-ken;21;1;8.5;4.4;0
7.10.2016;Miyagi-ken;17.2;0;6.9;3.2;0
8.10.2016;Miyagi-ken;15.9;6.5;0;2.8;0
9.10.2016;Miyagi-ken;17.7;3;0.8;3.6;0
10.10.2016;Miyagi-ken;14.3;0;4.4;3.5;0
11.10.2016;Miyagi-ken;13.6;0;5.4;2.3;0
12.10.2016;Miyagi-ken;13.7;0;2.6;2.8;0
13.10.2016;Miyagi-ken;12.9;0;4.6;2.3;0
14.10.2016;Miyagi-ken;14.1;0;9.4;2.3;0
15.10.2016;Miyagi-ken;15.7;0;7.3;2.3;0
16.10.2016;Miyagi-ken;16.1;0;10.5;2.2;0
17.10.2016;Miyagi-ken;18.1;3.5;0.2;2.2;0
18.10.2016;Miyagi-ken;19.5;0;3.2;2.3;0
19.10.2016;Miyagi-ken;16.7;0;10.4;2.7;0
20.10.2016;Miyagi-ken;17.4;0;10.4;4.5;0
21.10.2016;Miyagi-ken;13.1;0;10;4;0
22.10.2016;Miyagi-ken;11.9;0;6;2;0
23.10.2016;Miyagi-ken;13.3;0;6.5;4.6;0
24.10.2016;Miyagi-ken;12.2;0;8.1;3;0
25.10.2016;Miyagi-ken;13.4;3;6.5;4.8;0
26.10.2016;Miyagi-ken;18.9;0;9.5;2.6;0
27.10.2016;Miyagi-ken;13.8;0;10.1;3.8;0
28.10.2016;Miyagi-ken;11.3;8.5;0.3;2.4;0
29.10.2016;Miyagi-ken;10.6;1;4.8;4.1;0
30.10.2016;Miyagi-ken;10;0;6.6;2.4;0
31.10.2016;Miyagi-ken;10.6;0;0.1;2.5;0
1.11.2016;Miyagi-ken;9.2;3;0;3.3;0
2.11.2016;Miyagi-ken;8.2;0;7.3;2.3;0
3.11.2016;Miyagi-ken;10.7;0;6.4;3.7;0
4.11.2016;Miyagi-ken;9.9;0;5.2;2.8;0
5.11.2016;Miyagi-ken;15.2;0;9.9;3.4;0
6.11.2016;Miyagi-ken;10.4;0;7.6;4.7;0
7.11.2016;Miyagi-ken;6.8;0;9.7;2.4;0
8.11.2016;Miyagi-ken;9.5;0;3.3;3.2;0
9.11.2016;Miyagi-ken;6.5;0;6.5;5.5;0
10.11.2016;Miyagi-ken;6.4;0;0.4;3.1;0
11.11.2016;Miyagi-ken;5.5;21.5;0;2.9;0
12.11.2016;Miyagi-ken;11;0;7.4;2.6;0
13.11.2016;Miyagi-ken;11.2;0;8.9;2.3;0
14.11.2016;Miyagi-ken;12.2;0;3.7;1.8;0
15.11.2016;Miyagi-ken;13.8;0;4.1;3.2;0
16.11.2016;Miyagi-ken;9.2;0;8.4;4;0
17.11.2016;Miyagi-ken;7.3;0;0.8;2.3;0
18.11.2016;Miyagi-ken;8;0;9.6;2.2;0
19.11.2016;Miyagi-ken;7.4;7.5;0;3.4;0
20.11.2016;Miyagi-ken;11.2;0;0.9;2.4;0
21.11.2016;Miyagi-ken;10;0;7;2.8;0
22.11.2016;Miyagi-ken;12.6;0;7.7;4.1;0
23.11.2016;Miyagi-ken;5;0;2.8;4.4;0
24.11.2016;Miyagi-ken;2.3;0;1.3;3.1;0
25.11.2016;Miyagi-ken;3.5;0;1.7;2.4;0
26.11.2016;Miyagi-ken;6.3;0;8.3;2.7;0
27.11.2016;Miyagi-ken;8.8;3.5;0;2.4;0
28.11.2016;Miyagi-ken;8.2;0.5;5.1;4.8;0
29.11.2016;Miyagi-ken;5.9;0;3;4.1;0
30.11.2016;Miyagi-ken;5.6;0;4.6;2.6;0
1.12.2016;Miyagi-ken;9.9;4;2.6;2.9;0
2.12.2016;Miyagi-ken;8.5;0;6.5;4.5;0
3.12.2016;Miyagi-ken;10;0;7.7;2.1;0
4.12.2016;Miyagi-ken;9;0;7;2.5;0
5.12.2016;Miyagi-ken;10.9;0;2.2;2;0
6.12.2016;Miyagi-ken;7.5;1.5;5.8;5.7;0
7.12.2016;Miyagi-ken;3.8;0.5;6.4;2.8;0
8.12.2016;Miyagi-ken;3.8;0.5;7.8;2.6;0
9.12.2016;Miyagi-ken;7;0;5.5;2.3;0
10.12.2016;Miyagi-ken;3.4;0;3.3;3.4;0
11.12.2016;Miyagi-ken;0.9;1;3.1;2.7;3
12.12.2016;Miyagi-ken;2;0;1.8;1.9;0
13.12.2016;Miyagi-ken;5.7;2;3;2.7;0
14.12.2016;Miyagi-ken;3.6;20.5;0.2;4.3;0
15.12.2016;Miyagi-ken;2.8;0;5.1;2.9;0
16.12.2016;Miyagi-ken;1.1;0;6.2;3.1;0
17.12.2016;Miyagi-ken;2.9;0.5;7;3.2;1
18.12.2016;Miyagi-ken;7.1;0;5;2.2;0
19.12.2016;Miyagi-ken;8.6;0;3.6;2;0
20.12.2016;Miyagi-ken;9.4;0;5.3;2;0
21.12.2016;Miyagi-ken;8.5;0;7.5;2.3;0
22.12.2016;Miyagi-ken;11;0;0;4.3;0
23.12.2016;Miyagi-ken;11.4;0.5;8;5.4;0
24.12.2016;Miyagi-ken;4.1;0;6.7;5.3;0
25.12.2016;Miyagi-ken;3.3;0;2.9;1.7;0
26.12.2016;Miyagi-ken;3.2;0;1.1;1.9;0
27.12.2016;Miyagi-ken;4.8;0.5;0.6;4.2;0
28.12.2016;Miyagi-ken;1.9;0;3.5;3.6;0
29.12.2016;Miyagi-ken;3.2;0;6.8;3.8;0
30.12.2016;Miyagi-ken;2.5;0;8.9;4.9;0
31.12.2016;Miyagi-ken;3.5;0;2.1;2;0
1.01.2017;Miyagi-ken;4.4;0;3.7;2.1;0
2.01.2017;Miyagi-ken;6.8;0;0.6;1.7;0
3.01.2017;Miyagi-ken;5.3;0;5.4;3.1;0
4.01.2017;Miyagi-ken;3;2.5;1.4;2.5;0
5.01.2017;Miyagi-ken;2.1;0;5.9;4;0
6.01.2017;Miyagi-ken;1.7;0;7.6;3.4;0
7.01.2017;Miyagi-ken;4.5;0;5.2;2.6;0
8.01.2017;Miyagi-ken;4.3;2;5.1;2.8;0
9.01.2017;Miyagi-ken;4.9;6.5;1.6;4.2;0
10.01.2017;Miyagi-ken;5.3;0;8.1;4.4;0
11.01.2017;Miyagi-ken;0.2;0.5;7.7;3;0
12.01.2017;Miyagi-ken;-0.9;2;0;1.8;5
13.01.2017;Miyagi-ken;-0.1;0;3.6;2.8;0
14.01.2017;Miyagi-ken;-1.9;0;1;2.5;0
15.01.2017;Miyagi-ken;-2.5;0.5;5.4;3.1;0
16.01.2017;Miyagi-ken;1.2;0.5;6.1;3.7;1
17.01.2017;Miyagi-ken;2.4;0;7.4;3.4;0
18.01.2017;Miyagi-ken;3.1;0;5;2;0
19.01.2017;Miyagi-ken;3.8;0;7.7;3.6;0
20.01.2017;Miyagi-ken;2.1;2;4.2;2.8;0
21.01.2017;Miyagi-ken;3.2;0;5.8;4.3;0
22.01.2017;Miyagi-ken;3.3;0;4.1;3.2;0
23.01.2017;Miyagi-ken;0.6;0;5.7;4;0
24.01.2017;Miyagi-ken;-2.3;1.5;1.1;2.3;2
25.01.2017;Miyagi-ken;0;0;9.5;2.9;0
26.01.2017;Miyagi-ken;2.8;0;8.1;2.5;0
27.01.2017;Miyagi-ken;5.1;0;3.9;4.3;0
28.01.2017;Miyagi-ken;4.4;0;7.1;4.6;0
29.01.2017;Miyagi-ken;4.1;0;7.3;2.5;0
30.01.2017;Miyagi-ken;5.4;0;6.5;4.8;0
31.01.2017;Miyagi-ken;2;0;8.9;4.6;0
1.02.2017;Miyagi-ken;3;0;4;4.1;0
2.02.2017;Miyagi-ken;-1.3;2.5;4.8;4.5;5
3.02.2017;Miyagi-ken;2;0;6.3;4;1
4.02.2017;Miyagi-ken;5.3;0;4.3;3;0
5.02.2017;Miyagi-ken;5.5;0.5;1.5;1.6;0
6.02.2017;Miyagi-ken;5.4;3;4.6;4.4;0
7.02.2017;Miyagi-ken;0.9;0;4.4;4.6;0
8.02.2017;Miyagi-ken;1.3;0;5.5;2.5;0
9.02.2017;Miyagi-ken;1.3;2;0;1.9;0
10.02.2017;Miyagi-ken;2.2;2;2;4;3
11.02.2017;Miyagi-ken;2.2;0;9.1;3.6;0
12.02.2017;Miyagi-ken;3.6;0;7.4;5.4;0
13.02.2017;Miyagi-ken;4.3;0;10.1;4.3;0
14.02.2017;Miyagi-ken;3.5;0;7.6;3.2;0
15.02.2017;Miyagi-ken;4.2;0;8.6;3.5;0
16.02.2017;Miyagi-ken;6.8;0;9.3;2.6;0
17.02.2017;Miyagi-ken;8.4;0;5.4;4.7;0
18.02.2017;Miyagi-ken;2.7;0;7.4;4.5;0
19.02.2017;Miyagi-ken;1.5;0;9.7;4.1;0
20.02.2017;Miyagi-ken;3.4;1.5;0.3;2.9;0
21.02.2017;Miyagi-ken;0.8;0.5;4.7;5.8;0
22.02.2017;Miyagi-ken;2.7;0;4.6;2.7;0
23.02.2017;Miyagi-ken;4.8;3;0.1;3.8;0
24.02.2017;Miyagi-ken;2.9;0;4.9;5.4;0
25.02.2017;Miyagi-ken;3.5;0;7.1;2.6;0
26.02.2017;Miyagi-ken;5;0;6.8;3.4;0
27.02.2017;Miyagi-ken;2.6;0;8.4;4.9;0
28.02.2017;Miyagi-ken;1.8;0;8.8;2.9;0
1.03.2017;Miyagi-ken;3.7;0;8.4;2.4;0
2.03.2017;Miyagi-ken;5.2;0;0;1.7;0
3.03.2017;Miyagi-ken;6.2;0;9.4;5.9;0
4.03.2017;Miyagi-ken;6;0;7.4;3.3;0
5.03.2017;Miyagi-ken;5.5;0;6.4;2.6;0
6.03.2017;Miyagi-ken;6.4;0;2;3.1;0
7.03.2017;Miyagi-ken;3.1;0;6.7;4.1;0
8.03.2017;Miyagi-ken;2.2;0;6.8;3.7;0
9.03.2017;Miyagi-ken;4;0;6.1;3.2;0
10.03.2017;Miyagi-ken;3.7;0;7.5;3.2;0
11.03.2017;Miyagi-ken;3.7;0;4.5;3.3;0
12.03.2017;Miyagi-ken;5.5;0;5.1;2.2;0
13.03.2017;Miyagi-ken;5.4;0;0.3;3.4;0
14.03.2017;Miyagi-ken;4.7;41;0;3;0
15.03.2017;Miyagi-ken;2.8;8;0;4.1;0
16.03.2017;Miyagi-ken;4.8;0;7.6;3.4;0
17.03.2017;Miyagi-ken;5.3;1.5;9.3;3.7;0
18.03.2017;Miyagi-ken;7.1;0;7.8;3.2;0
19.03.2017;Miyagi-ken;7.8;0;10.3;4;0
20.03.2017;Miyagi-ken;9;0;11.2;3.7;0
21.03.2017;Miyagi-ken;5.6;11.5;0;2.7;0
22.03.2017;Miyagi-ken;6.9;0.5;7.5;5.8;0
23.03.2017;Miyagi-ken;5.2;0;5;3.8;0
24.03.2017;Miyagi-ken;3.9;0;8.9;4.2;0
25.03.2017;Miyagi-ken;5;0;6.5;3.5;0
26.03.2017;Miyagi-ken;5.5;0.5;3.4;3.2;0
27.03.2017;Miyagi-ken;4;13;0;3.2;0
28.03.2017;Miyagi-ken;6.5;1.5;8.7;2.9;0
29.03.2017;Miyagi-ken;7.1;0;8.5;3.1;0
30.03.2017;Miyagi-ken;8.9;0;8.1;3;0
31.03.2017;Miyagi-ken;7.1;0;0;3.9;0
1.04.2017;Miyagi-ken;4.4;0;0;2.3;0
2.04.2017;Miyagi-ken;6;0.5;6.6;3;0
3.04.2017;Miyagi-ken;7.1;0;8.5;3;0
4.04.2017;Miyagi-ken;9.3;0;8.4;2.5;0
5.04.2017;Miyagi-ken;10.4;0;11.7;2.1;0
6.04.2017;Miyagi-ken;13.9;0;7.2;2.9;0
7.04.2017;Miyagi-ken;14.7;0;2.4;2.1;0
8.04.2017;Miyagi-ken;11.9;0;1;1.9;0
9.04.2017;Miyagi-ken;10.6;0;1.2;3.5;0
10.04.2017;Miyagi-ken;9.8;0;12.3;3.6;0
11.04.2017;Miyagi-ken;8.9;36.5;0.5;4;0
12.04.2017;Miyagi-ken;9.9;2.5;5.6;5.4;0
13.04.2017;Miyagi-ken;7.2;0;6.9;3.8;0
14.04.2017;Miyagi-ken;13.2;0;9.2;3.5;0
15.04.2017;Miyagi-ken;15.1;0;4.1;2.9;0
16.04.2017;Miyagi-ken;18.4;0;10.2;4.2;0
17.04.2017;Miyagi-ken;13.5;19.5;4.4;4;0
18.04.2017;Miyagi-ken;14.7;40.5;6.5;4.9;0
19.04.2017;Miyagi-ken;11.8;0;7.8;6.1;0
20.04.2017;Miyagi-ken;11.1;0;5.3;4.9;0
21.04.2017;Miyagi-ken;11.4;0;2.1;1.6;0
22.04.2017;Miyagi-ken;11.6;0;8.5;3.7;0
23.04.2017;Miyagi-ken;9.9;0;10.7;3.8;0
24.04.2017;Miyagi-ken;9.9;0;10.2;3.2;0
25.04.2017;Miyagi-ken;13.2;0;11.7;3.4;0
26.04.2017;Miyagi-ken;14.8;1;2.3;2.7;0
27.04.2017;Miyagi-ken;12.9;0.5;4.6;4.2;0
28.04.2017;Miyagi-ken;12.2;0;10.7;3.6;0
29.04.2017;Miyagi-ken;13.3;0;7.9;2.8;0
30.04.2017;Miyagi-ken;15.2;0;12.4;3.2;0
1.05.2017;Miyagi-ken;15.9;0;1.5;3.3;0
2.05.2017;Miyagi-ken;13.7;0;13;4.1;0
3.05.2017;Miyagi-ken;14.1;0;12.3;2.1;0
4.05.2017;Miyagi-ken;15.1;0;5.7;2.4;0
5.05.2017;Miyagi-ken;17.4;0;11.4;2.3;0
6.05.2017;Miyagi-ken;15.9;0;0.4;1.6;0
7.05.2017;Miyagi-ken;17.5;0;10.8;4;0
8.05.2017;Miyagi-ken;18.3;0;12.6;5.4;0
9.05.2017;Miyagi-ken;13.9;0;8.7;3;0
10.05.2017;Miyagi-ken;14.6;0;0;2.6;0
11.05.2017;Miyagi-ken;16.8;0;2.5;3.4;0
12.05.2017;Miyagi-ken;15.2;0;10.8;2.9;0
13.05.2017;Miyagi-ken;13.3;72.5;0;4.2;0
14.05.2017;Miyagi-ken;12.7;27;0;3.1;0
15.05.2017;Miyagi-ken;13.3;13.5;0;1.7;0
16.05.2017;Miyagi-ken;15.6;0;6.9;2.5;0
17.05.2017;Miyagi-ken;14.8;0;12.8;2.5;0
18.05.2017;Miyagi-ken;16.3;0;12.5;2.6;0
19.05.2017;Miyagi-ken;17.6;0;13.8;2.9;0
20.05.2017;Miyagi-ken;20.5;0;13.5;1.9;0
21.05.2017;Miyagi-ken;22.1;0;13.3;2.5;0
22.05.2017;Miyagi-ken;22.7;0;10.7;2.4;0
23.05.2017;Miyagi-ken;18.5;0;4.4;2.6;0
24.05.2017;Miyagi-ken;19.4;3.5;0;1.5;0
25.05.2017;Miyagi-ken;16.8;17;0;1.7;0
26.05.2017;Miyagi-ken;16.2;0;0;2.1;0
27.05.2017;Miyagi-ken;16.6;3.5;0.4;2.1;0
28.05.2017;Miyagi-ken;18;0;5.7;2.6;0
29.05.2017;Miyagi-ken;18.9;0;13;2.7;0
30.05.2017;Miyagi-ken;21.6;0;9.7;2;0
31.05.2017;Miyagi-ken;22.3;0;5;3;0
1.06.2017;Miyagi-ken;18.6;11;0;3.1;0
1.01.2016;Niigata-ken;4.5;0;3.9;3.5;0
2.01.2016;Niigata-ken;7.2;7.5;0.6;4;0
3.01.2016;Niigata-ken;10.1;25;0.7;2.8;0
4.01.2016;Niigata-ken;8.5;1;2.6;3.7;0
5.01.2016;Niigata-ken;4.8;7.5;0;3.2;0
6.01.2016;Niigata-ken;5.6;3.5;1.9;2.5;0
7.01.2016;Niigata-ken;4.2;1.5;0;3.9;0
8.01.2016;Niigata-ken;2.7;4.5;0;2.3;0
9.01.2016;Niigata-ken;3;2.5;0;3.4;0
10.01.2016;Niigata-ken;5;13;0;4.2;0
11.01.2016;Niigata-ken;1.6;10;0;3.4;7
12.01.2016;Niigata-ken;0.9;3;0;2.5;5
13.01.2016;Niigata-ken;1.8;19;2;2.8;3
14.01.2016;Niigata-ken;1.8;11;0;3;5
15.01.2016;Niigata-ken;-0.6;0.5;0.6;1.1;1
16.01.2016;Niigata-ken;1.4;6;0;2.6;4
17.01.2016;Niigata-ken;1.4;3;1;2.1;2
18.01.2016;Niigata-ken;2.9;14.5;0;3.7;0
19.01.2016;Niigata-ken;2.9;22;0.5;7.8;5
20.01.2016;Niigata-ken;1.7;23;0.4;5.2;8
21.01.2016;Niigata-ken;3.2;0;0.3;3.7;1
22.01.2016;Niigata-ken;2.8;0;3.6;4.8;0
23.01.2016;Niigata-ken;0.9;3.5;0;3;14
24.01.2016;Niigata-ken;-0.7;30;0.1;4;22
25.01.2016;Niigata-ken;1;0.5;4;4.1;0
26.01.2016;Niigata-ken;1.7;1;0.3;2.8;2
27.01.2016;Niigata-ken;5.2;17;0.8;3.4;0
28.01.2016;Niigata-ken;4.5;7;0.6;1.5;0
29.01.2016;Niigata-ken;1.3;14.5;0;3.1;2
30.01.2016;Niigata-ken;1.3;9;0;1.6;4
31.01.2016;Niigata-ken;2.2;8.5;0;2.1;2
1.02.2016;Niigata-ken;1.2;1;0;2.9;1
2.02.2016;Niigata-ken;2;0;3.5;4;0
3.02.2016;Niigata-ken;1.8;0;0.5;2.9;0
4.02.2016;Niigata-ken;3.2;2.5;4.4;3.2;0
5.02.2016;Niigata-ken;3.2;6.5;0.7;2.2;0
6.02.2016;Niigata-ken;1;13;0;2.4;5
7.02.2016;Niigata-ken;0.4;2;2.4;2.8;5
8.02.2016;Niigata-ken;0.9;0;10.2;2.7;0
9.02.2016;Niigata-ken;1.8;32.5;0.2;3.8;5
10.02.2016;Niigata-ken;2.7;0;6.3;4.9;1
11.02.2016;Niigata-ken;3.4;0;4.8;2.2;0
12.02.2016;Niigata-ken;5.7;0;9.4;2.6;0
13.02.2016;Niigata-ken;8.5;1;0;2.2;0
14.02.2016;Niigata-ken;9.5;12.5;0;4.4;0
15.02.2016;Niigata-ken;1.8;1.5;1.1;5;0
16.02.2016;Niigata-ken;1;15.5;1.8;3.8;2
17.02.2016;Niigata-ken;2.4;7;0.1;4.3;0
18.02.2016;Niigata-ken;3.6;0;8.6;2.7;0
19.02.2016;Niigata-ken;6.2;0;3.6;3.9;0
20.02.2016;Niigata-ken;7.4;9;0;2.3;0
21.02.2016;Niigata-ken;5.7;3.5;2.6;5.3;0
22.02.2016;Niigata-ken;3.3;0;2.7;2.7;0
23.02.2016;Niigata-ken;5.4;2.5;0.3;3.8;0
24.02.2016;Niigata-ken;1.5;1;1.5;4.1;0
25.02.2016;Niigata-ken;1.1;4;0.6;3.3;3
26.02.2016;Niigata-ken;2.5;1.5;3.3;3.8;0
27.02.2016;Niigata-ken;4.9;2.5;7.1;3.7;0
28.02.2016;Niigata-ken;6.3;0;5.6;3;0
29.02.2016;Niigata-ken;5.3;11;0;6;0
1.03.2016;Niigata-ken;1.2;0.5;3.3;5.3;3
2.03.2016;Niigata-ken;2.8;4;1.6;3;1
3.03.2016;Niigata-ken;5.5;4;0.1;3.6;0
4.03.2016;Niigata-ken;5.1;0;9.4;1.6;0
5.03.2016;Niigata-ken;7.6;0;9.5;2.7;0
6.03.2016;Niigata-ken;14;0;6.8;4.7;0
7.03.2016;Niigata-ken;9.5;9;0;2.2;0
8.03.2016;Niigata-ken;8.8;1;1;3.1;0
9.03.2016;Niigata-ken;4.3;0;0;2.2;0
10.03.2016;Niigata-ken;3.9;0;2.5;2.4;0
11.03.2016;Niigata-ken;2.5;1.5;2.7;2;0
12.03.2016;Niigata-ken;2.8;1.5;6.7;2;2
13.03.2016;Niigata-ken;5.5;0;3.4;2;0
14.03.2016;Niigata-ken;5.4;2;0;1.8;0
15.03.2016;Niigata-ken;5.6;0.5;5.7;3.8;0
16.03.2016;Niigata-ken;7;0;6.2;2.5;0
17.03.2016;Niigata-ken;10.1;0;11.2;1.9;0
18.03.2016;Niigata-ken;12.8;0;5.4;2.7;0
19.03.2016;Niigata-ken;10.5;6;0;2.9;0
20.03.2016;Niigata-ken;7.6;0;1.5;3.4;0
21.03.2016;Niigata-ken;6.4;0;5.4;2.7;0
22.03.2016;Niigata-ken;7.9;0.5;9.4;4.1;0
23.03.2016;Niigata-ken;7.8;0;5.4;3.5;0
24.03.2016;Niigata-ken;4.5;4;4.7;2.9;0
25.03.2016;Niigata-ken;4.1;2.5;4.5;3;0
26.03.2016;Niigata-ken;4.6;2.5;2.8;2.6;0
27.03.2016;Niigata-ken;6.3;0;10.6;1.7;0
28.03.2016;Niigata-ken;8.4;0;11.8;2;0
29.03.2016;Niigata-ken;9.6;0;11.2;1.7;0
30.03.2016;Niigata-ken;11.3;2;3.8;3.3;0
31.03.2016;Niigata-ken;10.8;0;11;2.4;0
1.04.2016;Niigata-ken;11.8;0;10.8;3.6;0
2.04.2016;Niigata-ken;13.9;0;11.2;7.8;0
3.04.2016;Niigata-ken;15.4;0;2.7;3.5;0
4.04.2016;Niigata-ken;8.7;18;0;3.4;0
5.04.2016;Niigata-ken;9.4;0;10.7;2.2;0
6.04.2016;Niigata-ken;11.7;0.5;9.2;2.5;0
7.04.2016;Niigata-ken;12.2;37;0;4.1;0
8.04.2016;Niigata-ken;12.4;0;4.6;3.3;0
9.04.2016;Niigata-ken;14.3;0;11;3.7;0
10.04.2016;Niigata-ken;11.8;0;7.4;3.1;0
11.04.2016;Niigata-ken;6;11.5;2.7;4.4;0
12.04.2016;Niigata-ken;7.1;0;10.9;2.1;0
13.04.2016;Niigata-ken;13.6;7.5;6.6;3.6;0
14.04.2016;Niigata-ken;14.4;3;9.3;2.5;0
15.04.2016;Niigata-ken;9.9;3;4.9;4.2;0
16.04.2016;Niigata-ken;13.4;0;11;2;0
17.04.2016;Niigata-ken;16.5;1;4.8;7.8;0
18.04.2016;Niigata-ken;13.6;0;2.7;4.5;0
19.04.2016;Niigata-ken;10.5;2;5.2;2.5;0
20.04.2016;Niigata-ken;11.4;0;7.3;1.6;0
21.04.2016;Niigata-ken;15.1;5;0.4;2;0
22.04.2016;Niigata-ken;13.9;6.5;6.7;2.1;0
23.04.2016;Niigata-ken;15.7;0;8.3;3.2;0
24.04.2016;Niigata-ken;13.3;0;7.6;2.3;0
25.04.2016;Niigata-ken;12.9;0;12.5;1.9;0
26.04.2016;Niigata-ken;14.7;0;11.6;2.1;0
27.04.2016;Niigata-ken;13.3;0;10.6;2.6;0
28.04.2016;Niigata-ken;13.5;22;0;3.1;0
29.04.2016;Niigata-ken;11.1;3.5;3.5;5.4;0
30.04.2016;Niigata-ken;11.5;0;4.3;2.8;0
1.05.2016;Niigata-ken;13.7;5.5;0;3.3;0
2.05.2016;Niigata-ken;17.3;0;1.2;1.8;0
3.05.2016;Niigata-ken;22.1;0.5;7.9;6.6;0
4.05.2016;Niigata-ken;17.8;5.5;4.5;5.4;0
5.05.2016;Niigata-ken;16.6;0;5.1;6;0
6.05.2016;Niigata-ken;18.4;0;4.8;3.4;0
7.05.2016;Niigata-ken;16;11;2.5;3;0
8.05.2016;Niigata-ken;15.9;0;12.8;3.7;0
9.05.2016;Niigata-ken;16.7;0;12.4;1.9;0
10.05.2016;Niigata-ken;18.5;2;1.3;2.7;0
11.05.2016;Niigata-ken;16.3;6;0;5.9;0
12.05.2016;Niigata-ken;14.9;0;8.3;2.9;0
13.05.2016;Niigata-ken;19;0;11.3;3;0
14.05.2016;Niigata-ken;15.4;0;6.9;2.3;0
15.05.2016;Niigata-ken;20.2;0;12.5;4;0
16.05.2016;Niigata-ken;21.7;1.5;11.8;6.5;0
17.05.2016;Niigata-ken;14;16.5;0.6;1.7;0
18.05.2016;Niigata-ken;16.2;0;13.5;2.1;0
19.05.2016;Niigata-ken;18.6;0;12.3;2.2;0
20.05.2016;Niigata-ken;20.1;0;6.6;3.1;0
21.05.2016;Niigata-ken;18.2;0;12.8;2.2;0
22.05.2016;Niigata-ken;18.5;0;12.7;2;0
23.05.2016;Niigata-ken;18.8;0;12;1.8;0
24.05.2016;Niigata-ken;23.4;0;9.9;1.9;0
25.05.2016;Niigata-ken;21.7;0;0;2.1;0
26.05.2016;Niigata-ken;21.8;14.5;1.1;1.8;0
27.05.2016;Niigata-ken;18.4;23;7.3;2.5;0
28.05.2016;Niigata-ken;19.2;0;8;1.6;0
29.05.2016;Niigata-ken;20.1;0;10.7;2.1;0
30.05.2016;Niigata-ken;21.9;0;7.3;4.8;0
31.05.2016;Niigata-ken;20.3;4;6.4;3.8;0
1.06.2016;Niigata-ken;16.7;0.5;8.2;4.8;0
2.06.2016;Niigata-ken;15;0;4.5;3.7;0
3.06.2016;Niigata-ken;17.2;0;11.7;1.9;0
4.06.2016;Niigata-ken;21.2;0;9.5;2.9;0
5.06.2016;Niigata-ken;18.6;0;6;2.5;0
6.06.2016;Niigata-ken;18.1;0;12.6;2.1;0
7.06.2016;Niigata-ken;21.2;0;3.7;2.6;0
8.06.2016;Niigata-ken;22.8;0;10.7;2.4;0
9.06.2016;Niigata-ken;20.7;4.5;0;2.1;0
10.06.2016;Niigata-ken;20.1;0;11.3;2.1;0
11.06.2016;Niigata-ken;23.3;0;12.9;1.8;0
12.06.2016;Niigata-ken;24.9;0;8.6;2.1;0
13.06.2016;Niigata-ken;21.7;5;0.1;4;0
14.06.2016;Niigata-ken;22;0;0.7;2.1;0
15.06.2016;Niigata-ken;23.4;0;8.9;2.8;0
16.06.2016;Niigata-ken;24.1;0.5;0.6;5.3;0
17.06.2016;Niigata-ken;22.6;3.5;8.5;4.1;0
18.06.2016;Niigata-ken;22.6;0;12.4;2.9;0
19.06.2016;Niigata-ken;23.8;3.5;7.7;2.3;0
20.06.2016;Niigata-ken;22.9;7;8.3;3.1;0
21.06.2016;Niigata-ken;22.5;0;8;2;0
22.06.2016;Niigata-ken;22.1;0;9.6;2.3;0
23.06.2016;Niigata-ken;20.9;12.5;0;2.4;0
24.06.2016;Niigata-ken;21.8;7;0.2;3;0
